Offset     Obj Type   #Ptr #Hnd Start        Size Service key          Name
0x01f17f38 0x825b25b8    3    0 0xf88da000  40960 'NDProxy'            'NDProxy'    '\\Driver\\NDProxy'
0x01f37c08 0x825b25b8    5    0 0xf89f2000  32128 'usbccgp'            'usbccgp'    '\\Driver\\usbccgp'
0x01f3d458 0x825b25b8    3    0 0xf343a000  14592 'Ndisuio'            'Ndisuio'    '\\Driver\\Ndisuio'
0x01f5a030 0x825b25b8    3    0 0xf8388000  10624 'gameenum'           'gameenum'   '\\Driver\\gameenum'
0x01f5f1d8 0x825b25b8    3    0 0xf89da000  20992 'VgaSave'            'VgaSave'    '\\Driver\\VgaSave'
0x01f61208 0x825b25b8    3    0 0xf8d2f000   2944 'Null'               'Null'       '\\Driver\\Null'
0x01f69210 0x825b25b8    3    0 0xf88aa000  48384 'PptpMiniport'       'PptpMiniport' '\\Driver\\PptpMiniport'
0x01f69f38 0x825b25b8    3    0 0xf889a000  41472 'RasPppoe'           'RasPppoe'   '\\Driver\\RasPppoe'
0x01f6a188 0x825b25b8    6    0 0xf8b62000  10496 'NdisTapi'           'NdisTapi'   '\\Driver\\NdisTapi'
0x01f6a6f0 0x825b25b8    3    0 0xf888a000  51328 'Rasl2tp'            'Rasl2tp'    '\\Driver\\Rasl2tp'
0x01f6af38 0x825b25b8    7    0 0xf8d60000   3072 'audstub'            'audstub'    '\\Driver\\audstub'
0x01f82cc8 0x825b25b8    4    0 0xf36bb000 137600 'vmhgfs'             'vmhgfs'     '\\FileSystem\\vmhgfs'
0x01f909c8 0x825b25b8    5    0 0xf880a000  52480 'i8042prt'           'i8042prt'   '\\Driver\\i8042prt'
0x01f96ba0 0x825b25b8    5    0 0xf83c9000 105472 'Mup'                'Mup'        '\\FileSystem\\Mup'
0x02020840 0x825b25b8    3    0 0xf89ca000  20480 'Flpydisk'           'Flpydisk'   '\\Driver\\Flpydisk'
0x02021710 0x825b25b8    3    0 0xf8bba000   4224 'Beep'               'Beep'       '\\Driver\\Beep'
0x02024b68 0x825b25b8    3    0 0xf8b7e000  15488 'mssmbios'           'mssmbios'   '\\Driver\\mssmbios'
0x02045978 0x825b25b8    4    0 0xf878a000  59136 'RFCOMM'             'RFCOMM'     '\\Driver\\RFCOMM'
0x0204c550 0x825b25b8    3    0 0xf2dde000 357888 'Srv'                'Srv'        '\\FileSystem\\Srv'
0x0204c978 0x825b25b8    3    0 0xf2f9b000   8320 'VMMEMCTL'           'VMMEMCTL'   '\\Driver\\VMMEMCTL'
0x0204cda0 0x825b25b8    3    0 0xf8bc4000   6784 'ParVdm'             'ParVdm'     '\\Driver\\ParVdm'
0x02052538 0x825b25b8    3    0 0xf8374000  12032 'WS2IFSL'            'WS2IFSL'    '\\Driver\\WS2IFSL'
0x020546d8 0x825b25b8    3    0 0xf89c2000  16512 'Raspti'             'Raspti'     '\\Driver\\Raspti'
0x020547d0 0x825b25b8    6    0 0xf89ba000  17792 'Ptilink'            'Ptilink'    '\\Driver\\Ptilink'
0x020824b0 0x825b25b8    3    0 0xf882a000  42112 'Imapi'              'Imapi'      '\\Driver\\Imapi'
0x0209fda0 0x825b25b8    4    0 0xf884a000  57600 'redbook'            'redbook'    '\\Driver\\redbook'
0x020a6f38 0x825b25b8    6    0 0xf853b000 125056 'Ftdisk'             'Ftdisk'     '\\Driver\\Ftdisk'
0x020baa08 0x825b25b8    4    0 0xf86ca000  36352 'Disk'               'Disk'       '\\Driver\\Disk'
0x020c8548 0x825b25b8    8    0 0xf88fa000  59520 'usbhub'             'usbhub'     '\\Driver\\usbhub'
0x020c8e30 0x825b25b8    5    0 0xf88ca000  40704 'TermDD'             'TermDD'     '\\Driver\\TermDD'
0x020f9c80 0x825b25b8    3    0 0xf8bbe000   4224 'RDPCDD'             'RDPCDD'     '\\Driver\\RDPCDD'
0x02101978 0x825b25b8    5    0 0xf2af5000 265728 'HTTP'               'HTTP'       '\\Driver\\HTTP'
0x0210a648 0x825b25b8    3    0 0xf35d2000 152832 'IpNat'              'IpNat'      '\\Driver\\IpNat'
0x02122790 0x825b25b8    3    0 0xf2eae000 180608 'MRxDAV'             'MRxDAV'     '\\FileSystem\\MRxDAV'
