Pid      Process              Base         InLoad   InInit   InMem    MappedPath
4        System               0x7c900000   0        0        0        \WINDOWS\system32\ntdll.dll
552      smss.exe             0x48580000   1        0        1        \WINDOWS\system32\smss.exe
552      smss.exe             0x7c900000   1        1        1        \WINDOWS\system32\ntdll.dll
604      csrss.exe            0x460000     0        0        0        \WINDOWS\Fonts\vgasys.fon
604      csrss.exe            0xf00000     0        0        0        \WINDOWS\Fonts\vga850.fon
604      csrss.exe            0x75b40000   1        1        1        \WINDOWS\system32\csrsrv.dll
604      csrss.exe            0x1240000    0        0        0        \WINDOWS\Fonts\ega40850.fon
604      csrss.exe            0x1260000    0        0        0        \WINDOWS\Fonts\cga40850.fon
604      csrss.exe            0x77e70000   1        1        1        \WINDOWS\system32\rpcrt4.dll
604      csrss.exe            0x4a680000   1        0        1        \WINDOWS\system32\csrss.exe
604      csrss.exe            0x1090000    0        0        0        \WINDOWS\Fonts\app850.fon
604      csrss.exe            0x75b60000   1        1        1        \WINDOWS\system32\winsrv.dll
604      csrss.exe            0x7e720000   1        1        1        \WINDOWS\system32\sxs.dll
604      csrss.exe            0x7c800000   1        1        1        \WINDOWS\system32\kernel32.dll
604      csrss.exe            0x77dd0000   1        1        1        \WINDOWS\system32\advapi32.dll
604      csrss.exe            0x77fe0000   1        1        1        \WINDOWS\system32\secur32.dll
604      csrss.exe            0x75b50000   1        1        1        \WINDOWS\system32\basesrv.dll
604      csrss.exe            0x7e410000   1        1        1        \WINDOWS\system32\user32.dll
604      csrss.exe            0x7c900000   1        1        1        \WINDOWS\system32\ntdll.dll
604      csrss.exe            0x77f10000   1        1        1        \WINDOWS\system32\gdi32.dll
604      csrss.exe            0x1250000    0        0        0        \WINDOWS\Fonts\cga80850.fon
684      winlogon.exe         0x1000000    1        0        1        \WINDOWS\system32\winlogon.exe
684      winlogon.exe         0x1660000    1        1        1        \WINDOWS\system32\xpsp2res.dll
684      winlogon.exe         0x76c30000   1        1        1        \WINDOWS\system32\wintrust.dll
684      winlogon.exe         0x76360000   1        1        1        \WINDOWS\system32\winsta.dll
684      winlogon.exe         0x77c00000   1        1        1        \WINDOWS\system32\version.dll
684      winlogon.exe         0x77dd0000   1        1        1        \WINDOWS\system32\advapi32.dll
684      winlogon.exe         0x76f60000   1        1        1        \WINDOWS\system32\wldap32.dll
684      winlogon.exe         0x7c800000   1        1        1        \WINDOWS\system32\kernel32.dll
684      winlogon.exe         0x76b40000   1        1        1        \WINDOWS\system32\winmm.dll
684      winlogon.exe         0x5b860000   1        1        1        \WINDOWS\system32\netapi32.dll
684      winlogon.exe         0x77bd0000   1        1        1        \WINDOWS\system32\midimap.dll
684      winlogon.exe         0x71ab0000   1        1        1        \WINDOWS\system32\ws2_32.dll
684      winlogon.exe         0x77120000   1        1        1        \WINDOWS\system32\oleaut32.dll
684      winlogon.exe         0x774e0000   1        1        1        \WINDOWS\system32\ole32.dll
684      winlogon.exe         0x77920000   1        1        1        \WINDOWS\system32\setupapi.dll
684      winlogon.exe         0x7e410000   1        1        1        \WINDOWS\system32\user32.dll
684      winlogon.exe         0x7c900000   1        1        1        \WINDOWS\system32\ntdll.dll
684      winlogon.exe         0x77f10000   1        1        1        \WINDOWS\system32\gdi32.dll
684      winlogon.exe         0x72d20000   1        1        1        \WINDOWS\system32\wdmaud.drv
684      winlogon.exe         0x76f50000   1        1        1        \WINDOWS\system32\wtsapi32.dll
684      winlogon.exe         0x77e70000   1        1        1        \WINDOWS\system32\rpcrt4.dll
684      winlogon.exe         0x769c0000   1        1        1        \WINDOWS\system32\userenv.dll
684      winlogon.exe         0x76fd0000   1        1        1        \WINDOWS\system32\clbcatq.dll
684      winlogon.exe         0x77c10000   1        1        1        \WINDOWS\system32\msvcrt.dll
684      winlogon.exe         0x71bf0000   1        1        1        \WINDOWS\system32\samlib.dll
684      winlogon.exe         0x77050000   1        1        1        \WINDOWS\system32\comres.dll
684      winlogon.exe         0x71aa0000   1        1        1        \WINDOWS\system32\ws2help.dll
684      winlogon.exe         0x77be0000   1        1        1        \WINDOWS\system32\msacm32.dll
684      winlogon.exe         0x77fe0000   1        1        1        \WINDOWS\system32\secur32.dll
684      winlogon.exe         0x72d10000   1        1        1        \WINDOWS\system32\msacm32.drv
728      services.exe         0x1000000    1        0        1        \WINDOWS\system32\services.exe
728      services.exe         0x7c900000   1        1        1        \WINDOWS\system32\ntdll.dll
728      services.exe         0x76f50000   1        1        1        \WINDOWS\system32\wtsapi32.dll
728      services.exe         0x76360000   1        1        1        \WINDOWS\system32\winsta.dll
728      services.exe         0x7dba0000   1        1        1        \WINDOWS\system32\umpnpmgr.dll
728      services.exe         0x77dd0000   1        1        1        \WINDOWS\system32\advapi32.dll
728      services.exe         0x77fe0000   1        1        1        \WINDOWS\system32\secur32.dll
728      services.exe         0x77c00000   1        1        1        \WINDOWS\system32\version.dll
728      services.exe         0x77b40000   1        1        1        \WINDOWS\system32\apphelp.dll
728      services.exe         0x5b860000   1        1        1        \WINDOWS\system32\netapi32.dll
728      services.exe         0x77e70000   1        1        1        \WINDOWS\system32\rpcrt4.dll
728      services.exe         0x76080000   1        1        1        \WINDOWS\system32\msvcp60.dll
728      services.exe         0x71ab0000   1        1        1        \WINDOWS\system32\ws2_32.dll
728      services.exe         0x7e410000   1        1        1        \WINDOWS\system32\user32.dll
728      services.exe         0x77f10000   1        1        1        \WINDOWS\system32\gdi32.dll
728      services.exe         0x5cb70000   1        1        1        \WINDOWS\system32\shimeng.dll
728      services.exe         0x76390000   1        1        1        \WINDOWS\system32\imm32.dll
728      services.exe         0x769c0000   1        1        1        \WINDOWS\system32\userenv.dll
728      services.exe         0x7c800000   1        1        1        \WINDOWS\system32\kernel32.dll
728      services.exe         0x7dbd0000   1        1        1        \WINDOWS\system32\scesrv.dll
728      services.exe         0x76bf0000   1        1        1        \WINDOWS\system32\psapi.dll
728      services.exe         0x77c10000   1        1        1        \WINDOWS\system32\msvcrt.dll
728      services.exe         0x5f770000   1        1        1        \WINDOWS\system32\ncobjapi.dll
728      services.exe         0x47260000   1        1        1        \WINDOWS\AppPatch\acadproc.dll
