SSDT[0] at 80501b8c with 284 entries
  Entry 0x0000: 0x80599a5e (NtAcceptConnectPort) owned by ntoskrnl.exe
  Entry 0x0001: 0x805e7704 (NtAccessCheck) owned by ntoskrnl.exe
  Entry 0x0002: 0x805eaf4a (NtAccessCheckAndAuditAlarm) owned by ntoskrnl.exe
  Entry 0x0003: 0x805e7736 (NtAccessCheckByType) owned by ntoskrnl.exe
  Entry 0x0004: 0x805eaf84 (NtAccessCheckByTypeAndAuditAlarm) owned by ntoskrnl.exe
  Entry 0x0005: 0x805e776c (NtAccessCheckByTypeResultList) owned by ntoskrnl.exe
  Entry 0x0006: 0x805eafc8 (NtAccessCheckByTypeResultListAndAuditAlarm) owned by ntoskrnl.exe
  Entry 0x0007: 0x805eb00c (NtAccessCheckByTypeResultListAndAuditAlarmByHandle) owned by ntoskrnl.exe
  Entry 0x0008: 0x8060c75e (NtAddAtom) owned by ntoskrnl.exe
  Entry 0x0009: 0x8060d4a2 (NtAddBootEntry) owned by ntoskrnl.exe
  Entry 0x000a: 0x805e2aea (NtAdjustGroupsToken) owned by ntoskrnl.exe
  Entry 0x000b: 0x805e2742 (NtAdjustPrivilegesToken) owned by ntoskrnl.exe
  Entry 0x000c: 0x805cafa4 (NtAlertResumeThread) owned by ntoskrnl.exe
  Entry 0x000d: 0x805caf54 (NtAlertThread) owned by ntoskrnl.exe
  Entry 0x000e: 0x8060cd84 (NtAllocateLocallyUniqueId) owned by ntoskrnl.exe
  Entry 0x000f: 0x805ab6ec (NtAllocateUserPhysicalPages) owned by ntoskrnl.exe
  Entry 0x0010: 0x8060c39c (NtAllocateUuids) owned by ntoskrnl.exe
  Entry 0x0011: 0x8059ded4 (NtAllocateVirtualMemory) owned by ntoskrnl.exe
  Entry 0x0012: 0x805a5b2e (NtAreMappedFilesTheSame) owned by ntoskrnl.exe
  Entry 0x0013: 0x805cca82 (NtAssignProcessToJobObject) owned by ntoskrnl.exe
  Entry 0x0014: 0x804ff810 (NtCallbackReturn) owned by ntoskrnl.exe
  Entry 0x0015: 0x805be602 (NtCancelDeviceWakeupRequest) owned by ntoskrnl.exe
  Entry 0x0016: 0x8056bdc8 (NtCancelIoFile) owned by ntoskrnl.exe
  Entry 0x0017: 0x805350ce (NtCancelTimer) owned by ntoskrnl.exe
  Entry 0x0018: 0x80605a34 (NtClearEvent) owned by ntoskrnl.exe
  Entry 0x0019: 0x805b1d78 (NtClose) owned by ntoskrnl.exe
  Entry 0x001a: 0x805eb484 (NtCloseObjectAuditAlarm) owned by ntoskrnl.exe
  Entry 0x001b: 0x8061a7b2 (NtCompactKeys) owned by ntoskrnl.exe
  Entry 0x001c: 0x805ef998 (NtCompareTokens) owned by ntoskrnl.exe
  Entry 0x001d: 0x8059a14c (NtCompleteConnectPort) owned by ntoskrnl.exe
  Entry 0x001e: 0x8061aa06 (NtCompressKey) owned by ntoskrnl.exe
  Entry 0x001f: 0x805999fe (NtConnectPort) owned by ntoskrnl.exe
  Entry 0x0020: 0x80540ed8 (NtContinue) owned by ntoskrnl.exe
  Entry 0x0021: 0x8063957e (NtCreateDebugObject) owned by ntoskrnl.exe
  Entry 0x0022: 0x805b3dac (NtCreateDirectoryObject) owned by ntoskrnl.exe
  Entry 0x0023: 0x80605a84 (NtCreateEvent) owned by ntoskrnl.exe
  Entry 0x0024: 0x8060dd18 (NtCreateEventPair) owned by ntoskrnl.exe
  Entry 0x0025: 0x8056e36e (NtCreateFile) owned by ntoskrnl.exe
  Entry 0x0026: 0x8056dd4c (NtCreateIoCompletion) owned by ntoskrnl.exe
  Entry 0x0027: 0x805cba46 (NtCreateJobObject) owned by ntoskrnl.exe
  Entry 0x0028: 0x805cb77e (NtCreateJobSet) owned by ntoskrnl.exe
  Entry 0x0029: 0x8061abe2 (NtCreateKey) owned by ntoskrnl.exe
  Entry 0x002a: 0x8056e47c (NtCreateMailslotFile) owned by ntoskrnl.exe
  Entry 0x002b: 0x8060e110 (NtCreateMutant) owned by ntoskrnl.exe
  Entry 0x002c: 0x8056e3a8 (NtCreateNamedPipeFile) owned by ntoskrnl.exe
  Entry 0x002d: 0x805a0ebc (NtCreatePagingFile) owned by ntoskrnl.exe
  Entry 0x002e: 0x8059a51a (NtCreatePort) owned by ntoskrnl.exe
  Entry 0x002f: 0x805c7576 (NtCreateProcess) owned by ntoskrnl.exe
  Entry 0x0030: 0x805c74c0 (NtCreateProcessEx) owned by ntoskrnl.exe
  Entry 0x0031: 0x8060e530 (NtCreateProfile) owned by ntoskrnl.exe
